@WordPOS	Ag,Bg,Dg,Mg,Ng,Rg,Tg,Vg,Yg,a,ad,an,b,c,d,e,f,h,i,j,k,l,m,n,nr,ns,nt,nx,nz,o,p,q,r,s,t,u,v,vd,vn,w,y,z,
广西南宁市劳动监察大队	nt:1,
广西南宁市第二人民医院	nt:2,
广西南宁市郊那洪镇政府	nt:1,
广西南宁铁路分局	nt:1,
广西南方商业集团有限责任公司	nt:1,
广西喷施宝集团有限公司	nt:1,
广西团	nt:1,n:1,
广西团区委	nt:1,
广西围棋队	nt:1,
广西壮族自治区	ns:30,
广西壮族自治区人民医院	nt:1,
广西壮族自治区人民政府	nt:1,
广西壮族自治区人民检察院	nt:1,
广西壮族自治区体委	nt:1,
广西壮族自治区党委	nt:9,
广西壮族自治区党委办公厅	nt:1,
广西壮族自治区党委宣传部	nt:1,
广西壮族自治区北海市歌舞团	nt:1,
广西壮族自治区南宁市武鸣县殡仪馆党支部	nt:1,
广西壮族自治区南宁市财政局	nt:1,
广西壮族自治区大化瑶族自治县	ns:1,
广西壮族自治区巴马县交通征费稽查所	nt:1,
广西壮族自治区政协	nt:1,
广西壮族自治区政府	nt:2,
广西壮族自治区教委	nt:1,
广西壮族自治区文化厅	nt:1,
广西壮族自治区柳州景行小学	nt:1,
广西壮族自治区科协科普部	nt:1,
广西壮族自治区科委社会发展与科学普及处	nt:1,
广西壮族自治区第九届人民代表大会常务委员会	nt:1,
广西壮族自治区纪委	nt:1,
广西壮族自治区罗城仫佬族自治县	ns:1,
广西壮族自治区钟山县委	nt:1,
广西大学	nt:1,
广西大学支部	nt:1,
广西天生桥电站	nt:1,
广西富川瑶族自治县	ns:1,
广西对外文化交流协会	nt:1,
广西工商局	nt:1,
广西师大出版社	nt:2,
广西师范大学出版社	nt:1,
广西师范学院	nt:1,
广西平果铝业公司	nt:1,
广西康达	nt:1,
广西德保县燕峒乡兰堂完小	nt:1,
广西总队医院外二科	nt:1,
广西恭城瑶族自治县	ns:2,
广西扶绥县委办公室	nt:1,
广西扶绥县龙头乡政府	nt:1,
广西斯壮	nt:1,
广西日报社	nt:2,
广西来宾Ｂ电厂	nt:1,
广西柳城县冲脉乡米村小学	nt:1,
广西柳州团市委	nt:1,
广西柳州图书馆	nt:2,
广西柳州市国税局	nt:1,
广西柳州市柳城县人事局	nt:1,
广西柳州市监察局	nt:1,
广西柳州市税务系统党委办	nt:2,
广西桂平贵港航运枢纽工程	nz:1,
广西桂林威达公司	nt:1,
广西桂林市工商行政管理局	nt:2,
广西桂林警备区	nt:1,
广西桂林雄森熊虎山庄	ns:1,
广西梧州市家用电器总厂	nt:1,
广西武鸣县农机推广站	nt:1,
广西武鸣县殡仪馆党支部	nt:1,
广西武鸣地委	nz:1,
广西民族出版社	nt:2,
广西河池地区	ns:1,
广西源发羽绒服装制品厂	nt:1,
广西源安堂制药厂	nt:1,
广西玉林地区	ns:3,
广西玉柴	nt:1,
广西玉柴机器股份有限公司	nt:1,
广西玉柴机器股份有限公司党委	nt:1,
广西瑶学会	nt:2,
广西田阳县城东果菜批发市场	ns:1,
广西电影制片厂	nt:6,
广西电视台	nt:1,
广西电视台新闻部	nt:1,
广西百色地区	ns:1,
广西百色巴马瑶族自治县那莫乡中心小学	nt:1,
广西百色达江乡卫生院	nt:1,
广西省	ns:2,
广西省政协	nt:1,
广西省政府	nt:1,
广西第六地质队梧州基地医务所	nt:2,
广西纪委	nt:1,
广西绥靖公署政治部	nt:1,
广西美术出版社	nt:3,
广西自治区	ns:1,
广西虎威	nt:3,
广西西江贵港航运枢纽工程	nz:1,
广西证券北京营业部	ns:2,
广西赖氨酸厂	nt:1,
广西钦州市委	nt:1,
广西银荔集团	nt:1,
广西银荔集团公司	nt:1,
广西防城港市公安边防支队东兴边防派出所	nt:1,
广西防城港市委	nt:1,
广西高校招生委员会	nt:1,
广西鹿寨化肥厂	nt:1,
广西黎钦铁路	nz:1,
广西黎钦黎塘至钦州铁路	nz:1,
广西黎（塘）湛（江）铁路	nz:1,
广西黑五类食品集团公司	nt:1,
广角	b:3,
广角镜	n:1,
广记	nr:1,
广谱	b:1,
广货	j:4,
广远	j:3,
广远公司	nt:2,
广通站	ns:2,
广采博收	l:1,
广采博纳	l:1,
广钢	j:1,
广钢股份	nt:1,
广铁	j:3,
广铁集团	nt:2,
广铁集团公司纪委	nt:1,
广阔	a:412,
广阔无垠	l:1,
广院	j:1,
广陵	ns:1,
广饶县	ns:10,
广饶路	ns:1,
广（安）	ns:1,
广（安）渝重庆高速公路华蓥山隧道	nz:1,
广（州）	ns:4,
广（州）深（圳）线	nz:2,
广（通）	ns:4,
广（通）大（理）线	nz:1,
广（通）大（理）铁路	nz:3,
庄	Ag:1,nr:14,Ng:1,
庄一中	nr:1,
庄万	nr:1,
庄世平	nr:4,
庄严	an:3,a:119,ad:30,
庄丽	nr:3,
庄俊华	nr:1,
庄公惠	nr:2,
庄利	nr:1,
庄印芳	nr:2,
庄启传	nr:1,
庄启程	nr:1,
庄员	n:1,
庄周	nr:1,nz:1,
庄园	n:58,
庄园主	n:5,
庄园平	nr:1,
庄园红	nz:2,
庄园红酒有限公司	nt:1,
庄妈妈净菜服务有限公司	nt:3,
庄妈妈净菜服务社	nt:1,
庄婕	nr:1,
庄子	nr:5,
庄存与	nr:1,
庄家	n:4,
庄家沟村	ns:1,
庄少勤	nr:1,
庄山	ns:1,
庄希泉	nr:8,
庄希泉基金会	nt:2,
庄希泉纪念馆	ns:3,
庄广强	nr:1,
庄征君	nr:3,
庄户	n:6,
庄户人	n:3,
庄明锟	nr:1,
庄有理	nr:1,
庄毅	nr:3,
庄氏	nr:2,
庄河	ns:10,
庄河市	ns:8,
庄河市委	nt:1,
庄浪	ns:30,
庄浪人	n:20,
庄浪县	ns:9,
庄浪县委	nt:1,
庄灿涛	nr:1,
庄炎林	nr:1,
庄礼祥	nr:1,
庄福龄	nr:1,
庄禾集村	ns:3,
庄稼	n:48,
庄稼人	n:9,
庄稼地	n:2,
庄稼汉	n:4,
庄穆	nr:1,
庄红卫	nr:25,
庄红林	nr:1,
庄维汉	nr:1,
庄荣昌	nr:1,
庄言	nr:1,
庄连胜	nr:3,
庄逢甘	nr:1,
庄里	n:2,
庄重	an:3,a:43,ad:4,
庄重性	n:1,
庄重感	n:1,
庄金宝	nr:2,
庄霞琴	nr:4,
庆	Ng:5,Vg:91,
庆云	nz:3,
庆云县	ns:1,
庆元	nr:2,
庆典	n:150,
庆典型	n:1,
庆典性	n:1,
庆凤鸣	nz:1,
庆凤鸣剧团	nt:1,
庆功	v:3,vn:4,
庆功会	n:8,
庆功宴	n:1,
庆功曲	n:1,
庆功酒	n:2,
庆历	t:6,
庆吉	nr:1,
庆回归	v:2,
庆大霉素	n:2,
庆太村	ns:1,
庆安	ns:3,
庆安县	ns:6,
庆岭	ns:9,
庆州	ns:1,
庆幸	v:24,vn:1,
庆应	ns:1,
庆承瑞	nr:1,
庆春	v:2,nr:4,
庆瑞	nr:1,
庆祝	v:239,vn:138,
庆祝会	n:12,
庆祝性	b:1,
庆贺	v:33,vn:9,
庆贺寺乡	ns:4,
庆铃	nz:5,
庆阳	ns:3,
庆龄码头	ns:1,
庇	Vg:2,
庇护	v:7,vn:12,
庇护国	n:1,
庇护所	n:4,
床	q:11,n:119,
床位	n:15,
床位费	n:1,
床单	n:4,
床单厂	n:3,
床垫	n:1,
床头	n:4,
床头柜	n:2,
床子	n:2,
床帮	n:1,
床板	n:2,
床沿	n:2,
床边	n:1,
床铺	n:4,
序	Ng:2,n:58,Vg:1,
序列	n:23,
序号	n:4,
序幕	n:103,
序幕杯	nz:1,
序文	n:1,
序曲	n:20,
序盘	n:5,vn:3,
序而不变	l:1,
序言	n:29,
序跋	n:1,
庐	Ng:3,
庐山	ns:37,
庐山路	ns:1,
庐山风景名胜区管理局	nt:1,
庐峰	ns:1,
庐江	ns:1,
庐江县	ns:6,
庐江县城关镇朱墩村党支部	nt:1,
庑	Ng:1,
库	n:86,
库·苏尔丹诺夫	n:1,
库·茹马利耶夫	nr:1,
库万	nr:2,
库主	n:1,
库乌尔	nr:1,
库亚巴	ns:1,
库亚巴市	ns:1,
库什德	nr:5,
库什纳廖夫	nr:1,
库克	ns:3,nr:89,
库克列娃	nr:1,
库克斯区	ns:1,
库克群岛	ns:3,
库兹涅佐夫	nr:3,
库兹穆克	nr:9,
库内	n:1,
库利科夫	nr:2,
库务局	n:2,
库区	n:83,
库卡尔特河	ns:1,
库图佐夫	ns:2,
库图佐夫大街	ns:2,
库坝	n:1,
库奇马	nr:41,
库姆托尔	nz:2,
库姆罗韦茨	ns:1,
库存	v:11,n:55,vn:45,
库存值	n:4,
库存量	n:9,
库容	n:11,
库尔勒	ns:8,
库尔勒市	ns:3,
库尔勒杯	nz:2,
库尔尼科娃	nr:7,
库尔希德	nr:2,
库尔德	ns:10,
库尔德人	n:18,
库尔德工人党	nt:2,
库尔德工人党雅典办事处	nt:1,
库尔德族	nz:2,
库尔德派别	n:1,
库尔德番州	ns:1,
库尔特·比登科普夫	nr:1,
库尔特·贝克	nr:2,
库尔班江·买买提	nr:2,
库尼科娃	nr:2,
库巴	nr:2,
库巴内奇别克·茹马利耶夫	nr:1,
库布其	ns:2,
库布其沙漠	ns:2,
库底子	n:1,
库恩德科夫	nr:1,
库房	n:17,
库斯科省	ns:1,
库昌	nr:1,
库款	n:2,
库特·马苏尔	nr:5,
库瓦斯	nr:7,n:1,
库纳	n:1,
库美斯	nz:1,
库蒂莱罗	nr:1,
库诺维采	ns:1,
库贷	j:12,vn:1,
库贾拉	nr:1,
库赖	nr:1,
库车	ns:3,
库车县	ns:1,
库里村	ns:2,
库银	n:1,
库面	n:1,
库马拉通加	nr:6,
库马西	ns:1,
库马西市	ns:1,
库马西理工大学	nt:1,
库鲁	nz:1,
库鲁达	nz:1,
库（存）	n:1,
应	v:3672,d:3,p:2,vn:1,
应为	v:2,
应乃尔	nr:1,
应予	v:7,
应交	vn:1,
应付	v:118,vn:2,
应付款	n:1,
应价者	n:1,
应伊利	nr:1,
应允	v:6,vn:1,
应允许	v:1,
应力	n:2,
应力场	n:1,
应县	ns:5,
应变	v:17,vn:22,
应变成	v:1,
应召	v:2,
应和	v:3,vn:1,
应城	ns:4,
应城市	ns:5,
应城市公安局	nt:1,
应城战役	nz:1,
应声	v:7,
应大	nz:2,
应对	v:41,vn:10,
应届	b:41,
应市	v:1,
应当	v:1369,d:2,vd:1,
应征	v:8,vn:8,
应得	v:7,vn:1,
应急	v:12,vd:1,vn:73,
应急款	n:1,
应急灯	n:1,
应战	v:10,vn:4,
应承	v:4,
应承担	v:1,
应接不暇	i:7,
应收	vn:1,
应收款	n:4,
应文华	nr:3,
应时	v:2,b:1,vn:1,
应时而变	i:1,
应昊阳	nr:1,
应昌期	nr:1,
应昌期围棋协会	nt:1,
应景	vn:3,
应有	v:329,vn:19,
应有尽有	i:19,
应松年	nr:1,
应河	ns:2,
应泽丛	nr:1,
应激	vn:1,
应激反应	n:1,
应用	v:220,vn:348,
应用型	b:3,n:3,
应用性	b:1,n:7,
应用率	n:3,
应用科学	l:6,
应用量	n:1,
应用面	n:1,
应税	n:1,vn:4,
应税面	n:1,
应答	v:8,vn:1,
应约	v:3,
应纳	vn:1,
应纳税额	n:2,
应缴款	n:1,
应考	v:3,vn:1,
应者	n:2,
应者如云	l:1,
应聘	v:49,vn:11,
应聘人	n:2,
应聘卡	n:1,
应聘者	n:16,
应解	vn:2,
应诉	v:4,vn:1,
应诊	v:1,
应试	v:6,vn:44,
应试者	n:2,
应该	v:1796,r:4,
应诺	v:2,
应运而生	i:37,
应运而生出	l:1,
应运而起	l:1,i:1,
应选	v:1,
应选人	n:1,
应邀	v:178,vd:7,
应酬	v:23,vn:17,
应酬性	n:1,
应验	v:5,
应龙	nr:1,
应龙图书馆	nt:1,
底	f:855,u:1,Ng:8,n:33,
底下	f:29,
底价	n:9,
底儿	n:1,
底土	n:4,
底墒	n:2,
底壳	n:1,
底处	n:1,
底奥	n:1,
底子	n:32,
底层	n:25,
底座	n:11,
底托	n:1,
底数	n:16,
底本	n:2,
底板	n:7,
底栖生物	l:1,
底格里斯	ns:1,
底档	n:1,
底楼	s:1,
底气	n:11,
底气十足	l:1,
底泥	n:5,
底片	n:7,
底牌	n:3,
底特律市	ns:1,
底盘	n:6,
底稿	n:1,
底窑	ns:4,
底粉	n:1,
底纹	n:1,
底线	n:13,
底细	n:2,
底肥	n:2,
底舱	n:2,
底色	n:11,
底蕴	n:38,
底薪	n:1,
底谷	n:1,
底账	n:1,
底质	n:1,
底边	n:1,
底部	f:13,
底里	f:1,
底金	n:1,
庖	Ng:1,
庖丁解牛	l:2,
店	n:330,
店主	n:38,
店主任	n:2,
店史	n:1,
店名	n:10,
店员	n:4,
店堂	n:15,
店家	n:9,
店张镇	ns:2,
店张镇福利印刷厂	nt:1,
店方	n:6,
店貌	n:1,
店里	n:2,
店铺	n:33,
店长	n:2,
店面	n:11,
店面间	n:1,
店风	n:1,
庙	n:22,
庙东营	ns:1,
庙会	n:38,
庙堂	n:6,
庙子乡	ns:1,
庙宇	n:23,
庙宇镇	ns:1,
庙滩镇	ns:2,
庙舍	n:1,
庙街	ns:4,
庙里	n:1,
庙门	n:2,
庚子	t:2,
庚寅年	t:1,
庚德昌	nr:1,
庚款	nz:1,
庚款留学	nz:1,
庚申	t:1,
庚臣	r:2,
府	Ng:27,j:1,
府上	n:1,
府令	j:1,
府函	j:1,
府前路	ns:1,
府办	j:2,
府南	ns:2,
府南河	ns:21,
府南河综合整治指挥部	nt:1,
府厅发	j:1,
府发	j:7,
府城	ns:2,
府城南旺旅店	nt:1,
府城镇	ns:1,
府学	nz:1,
府尹	n:1,
府治	n:1,
府芒市	ns:1,
府邸	ns:1,n:101,
庞中英	nr:5,
庞丽娟	nr:2,
庞之浩	nr:1,
庞伟	a:1,
庞伟良	nr:7,
庞俭克	nr:1,
庞利	nr:1,
庞卓恒	nr:1,
庞占福	nr:1,
庞卫国	nr:11,
庞口	nz:1,
庞口汽车农机配件市场	ns:1,
庞各庄	ns:1,
庞各庄乡	ns:1,
庞各庄镇	ns:1,
庞国兴	nr:1,
庞国兴纪念馆	ns:1,
庞国标	nr:1,
庞国辉	nr:1,
庞圆娜	nr:7,
庞增福	nr:1,
庞大	an:3,a:156,
庞天舒	nr:2,
庞家钰	nr:1,
庞巨丰	nr:1,
庞庄	ns:1,
庞延斌	nr:2,
庞廷清	nr:1,
庞彰	nr:2,
庞德	nr:2,
庞志超	nr:1,
庞敏	nr:1,
庞朴	nr:1,
庞杂	a:6,
庞林太	nr:1,
庞林鑫	nr:2,
庞泽云	nr:1,
庞海龙	nr:3,
庞涓	nr:1,
庞然	z:1,
庞然大物	i:11,
庞瑞根	nr:1,
庞维丽	nr:2,
庞薰	nr:1,
庞贝城	ns:2,
庞跃庭	nr:1,
庞达德	nr:1,
庞道沐	nr:1,
庞铮铮	nr:3,
庞锡钧	nr:1,
庞风岐	nr:1,
废	v:40,Ag:13,Ng:4,a:1,
废丝	n:1,
废人	n:2,
废元钢	n:1,
废名	nr:1,
废品	n:22,
废品站	n:1,
废地	n:2,
废坑塘	n:1,
废塑料	n:7,
废墟	n:47,
废奴令	n:1,
废寝忘食	i:11,
废弃	v:29,vn:13,
废弃地	n:3,
废弃物	n:31,
废弛	vn:1,
废料	n:7,
废旧	b:25,
废止	v:19,vn:3,
废气	n:30,
废水	n:56,
废油	n:4,
废液	n:4,
废渣	n:25,
废物	n:60,
废盐	n:1,
废碎料	n:3,
废票	n:2,
废纸	n:25,
废纸屑	n:1,
废耕地	n:3,
废话	n:7,
废钢	n:6,
废钢铁	n:1,
废铁	n:8,
废铜	n:2,
废除	v:51,vn:1,
废麻	n:1,
废黜	v:1,
度	v:31,q:217,Ng:38,Vg:4,k:3,
度假	v:12,vn:16,
度假区	n:14,
度假地	n:1,
度假村	n:15,
度假者	n:1,
度夏	vn:1,
度度	v:1,
度数	n:3,
度日	v:14,
度日如年	i:2,
度汛	v:37,vn:5,
度过	v:134,
度量	v:5,n:1,
度量衡	n:1,
座	v:1,q:1093,Ng:20,n:1,
座上客	n:4,
座上宾	n:1,
座位	n:68,
座位号	n:1,
座位图	n:1,
座位表	n:1,
座像	n:4,
座儿	q:1,
座区	n:3,
座右铭	n:25,
座号	n:1,
座向	n:1,
座套	n:1,
座山雕	nr:1,
座席	n:2,
座座	q:12,
座无虚席	i:32,
座机	n:4,
座架	n:1,
座椅	n:2,
座楼	n:1,
座次	n:8,
座盘秤	n:1,
座背	n:1,
座舱	n:2,
座船	n:1,
座谈	v:197,vn:81,
座谈会	n:840,
座车	n:1,
座钟	n:1,
庭	Ng:22,
庭中	s:1,
庭园	n:4,
庭外	f:1,s:2,
庭审	v:13,n:1,vn:4,
庭室	n:5,
庭长	n:15,
庭院	n:45,
庭院式	b:1,n:1,
庵	Ng:1,
庵东镇	ns:1,
庶人	n:1,
庶民	n:1,
康	Ag:1,nr:9,j:19,
康世恩	nr:1,
康乃馨	n:2,
康乐	a:4,
康乐书	nr:1,
康乐保	nz:1,
康乐城	n:1,
康乐宫	ns:1,n:1,nz:1,
康乾	nr:1,j:1,
康交阳	nr:1,
康仁德	nr:2,
康传琦	nr:1,
康体	nz:3,vn:1,
康体休闲设备展示中心	nt:1,
康余顺	nr:1,
康佳	nz:106,
康佳喜	nr:1,
康佳电子集团	nt:1,
康佳集团	nt:16,
康佳集团股份有限公司	nt:1,
康佳集团董事局	nt:2,
康保县	ns:1,
康健	nz:1,
康克军	nr:3,
康克清	nr:2,
康兰	nr:4,
康凤英	nr:1,
康力	nz:2,
康华	nr:2,nz:1,
康华制药厂	nt:1,
康博	nz:7,
康博集团公司	nt:1,
康厚元	nr:1,
康吉尔	nz:1,
康吉维奇	nr:1,
康复	v:38,vn:71,
康复会	n:5,
康复昆	nr:1,
康复站	n:9,
康复者	n:2,
康奈尔	nz:2,
康奈尔医疗中心	nt:1,
康奉均	nr:1,
康威	nz:5,
康威体育用品有限公司	nt:2,
康威杯	nz:2,
康宁	nr:1,a:1,nz:2,
康安路	ns:1,
康宏志	nr:1,
康宏群	nr:1,
康定	ns:3,
康定东路	ns:1,
康定城	ns:1,
康定菜市场	ns:1,
康宝禄	nr:1,
康家沟	ns:1,
康富宝	nz:1,
康富泉	nr:1,
康少光	nr:1,
康尼·巴桑	nr:1,
康山	ns:1,
康山垦殖场	nt:1,
康师傅	nz:5,
康师开建	nr:1,
康帕格诺尼	nr:1,
康平	ns:1,
康庄	ns:2,
康庄大道	i:5,
康庄镇	ns:1,
康庄镇敬老院	nt:1,
康庆德	nr:1,
康德	nr:1,
康德苏	nr:13,
康必得	nz:7,
康忠	nr:1,
康恩专线	nz:6,
康恩公交专线	nz:1,
康恩电车城巴公司	nt:1,
康惠	nz:1,
康惠电子公司	nt:1,
康戈武	nr:1,
康成元	nr:1,
康扩廷	nr:2,
康拉德	nr:1,
康斯坦丁	nr:1,
康斯坦丁·伯亚尔斯基	nr:1,
康斯坦丁·拉萨金	nr:1,
康斯坦丁内斯库	nr:32,
康斯坦察	ns:2,
康斯坦察县	ns:2,
康新云刘俊	nr:1,
康有为	nr:11,
康有义	nr:1,
康林	nr:1,
康柏	nz:15,
康柏公司	nt:2,
康柏电脑中国公司	nt:1,
康柏电脑公司	nt:1,
康梁	nr:2,
康殷兄	nr:1,
康泠	nr:4,
康泰	nz:1,
康泰公司	nt:1,
康泰罗	nz:2,
康泰罗公司	nt:2,
康洪兴	nr:4,
康浦	nr:1,
康涅狄格州	ns:3,
康淑兰	nr:1,
康漫	nz:2,
康漫牌	nz:1,
康濯	nr:2,
康熙	t:2,nr:22,n:2,nz:1,
康熙三十年	t:1,
康熙五十二年	t:2,
康熙十三年	t:1,
康熙岭	ns:1,
康燕	nr:9,
康玉章董志田	nr:1,
康生	nr:15,
康福宝	nz:5,
康红霞	nr:1,
康纳	nr:2,
康绍辉	nr:2,
康绍远	nr:1,
康联	nz:1,
康能娟	nr:2,
康莱特	nz:9,
康裕	nz:18,
康裕矿泉水厂	nt:1,
康西	nz:1,
康赛	nz:5,
康赛集团	nt:2,
康达	nz:2,
康达商城	nz:1,
康达尔	nt:1,nz:1,
康达尔Ａ	nt:1,
康迪	nr:1,
康迪特	nr:1,
康采恩	nz:1,
康金	nr:2,
庸人	n:5,
庸俗	a:16,
庸俗化	v:6,vn:1,
庸劣	n:1,
庸医	n:2,
庸才	n:1,
庸碌	a:1,
庸者	n:10,
庹文生	nr:1,
庾亮	nr:1,
庾仲初	nr:1,
庾家河乡	ns:1,
庾德昌	nr:1,
廉	Ag:62,Ng:1,
廉价	a:28,ad:6,
廉吏	n:4,
廉政	n:404,
廉政关	n:4,
廉政办	j:1,
廉政勤政	l:29,
廉政卡	n:1,
廉政日	n:2,
廉政署	n:1,
廉政者	n:1,
廉政节	n:2,
廉明	a:5,
廉月茹	nr:1,
廉正	a:2,
廉正语	n:1,
廉正风	n:1,
廉江市	ns:2,
廉洁	an:9,a:92,ad:32,
廉洁关	n:3,
廉洁勤政	l:7,
廉洁奉公	l:42,
廉洁率	n:2,
廉洁经	n:1,
廉洁者	n:1,
廉洁自律	l:104,
廉洁风	n:1,
廉生威	l:1,
廉租	a:1,j:1,
廉者	n:6,
廉耻	n:2,
廉耻感	n:1,
廉颇老矣	i:1,
廊	Ng:10,
廊坊	ns:28,
廊坊中医院	nt:1,
廊坊市	ns:20,
廊坊市中医院	nt:1,
廊坊市人大	nt:1,
廊坊市人大常委会	nt:1,
廊坊市委	nt:1,
廊坊市安次区法院	nt:1,
廊坊市开放办	nt:1,
廊坊市政府	nt:1,
廊坊燕郊开发区	ns:1,
廊坊经济技术开发区	ns:1,
廊尾	n:1,
廊庑	n:1,
廊开府	ns:1,
廊柱	n:2,
廊桥遗梦	n:1,
廊门	n:2,
廊首	n:1,
廓清	v:2,vn:1,
廖	nr:6,
廖一梅	nr:1,
廖中才	nr:1,
廖云龙	nr:3,
廖京生	nr:1,
廖今天	nr:1,
廖仕雄	nr:1,
廖代文	nr:2,
廖仲恺	nr:3,
廖伟兴	nr:1,
廖俊	nr:2,
廖先旺	nr:37,
廖全京	nr:1,
廖公	nr:8,
廖军文	nr:1,
廖华歌	nr:2,
廖君福	nr:1,
廖子中	nr:1,
廖存忠	nr:1,
廖季坚	nr:1,
廖定国	nr:1,
廖庭建	nr:1,
廖得俊	nr:1,
廖志承	nr:1,
廖承志	nr:16,
廖承辉	nr:1,
廖文	nr:1,
廖文海	nr:1,
廖昌永	nr:5,
廖晖	nr:12,
廖望月	nr:1,
廖某	nr:1,
廖桂永	nr:2,
廖正亮	nr:1,
廖毅文	nr:1,
廖氏	nr:1,
廖汉生	nr:13,
廖汉生杨秀山	nr:1,
廖泽云	nr:2,
廖海涛	nr:29,
廖海金	nr:1,
廖海金习剑锋	nr:1,
廖海金何草德	nr:1,
廖海金尹清泉	nr:1,
廖海金邹连根	nr:1,
廖烈科	nr:3,
廖爱华	nr:2,
廖玒	nr:1,
廖玒陈智霞	nr:1,
廖礼钜	nr:3,
廖礼钟	nr:3,
廖礼锴	nr:3,
廖福安	nr:1,
廖经天	nr:7,
廖耀宪	nr:1,
廖能成	nr:1,
廖锡龙	nr:1,
廖锦坪	nr:1,
廖长光	nr:2,
廖雪文钟斌光	nr:1,
廖露霖王国宾	nr:1,
廖静文	nr:2,
延	Vg:12,j:5,
延·凯恩	nr:1,
延中	nz:4,
延中实业	nt:5,
延为	v:1,
延亨默	nr:1,
延付	v:1,
延伸	v:106,vd:1,vn:53,
延伸性	n:1,
延南	ns:1,
延吉	ns:6,
延吉市	ns:2,
延吉路	ns:1,
延宇	nr:1,
延宇被	p:1,
延安	ns:310,
延安东路	ns:1,
延安东路隧道	nz:1,
延安中央	nt:1,
延安中央党校	nt:2,
延安中央印刷厂	nt:1,
延安中学	nt:1,
延安人	n:2,
延安体育馆	ns:2,
延安供水工程	nz:3,
延安党校	nt:2,
延安兵工厂	nt:1,
延安军委总政宣传部编辑股	nt:1,
延安剧协	nt:1,
延安吴旗县社会福利总厂	nt:1,
延安地区	nt:1,ns:6,
延安城	ns:1,
延安大学	nt:1,
延安大学民族学院	nt:2,
延安女子大学	nt:1,
延安宾馆	ns:1,
延安市	ns:9,
延安市体委	nt:2,
延安市教委	nt:1,
延安总政后勤部招待所	nt:1,
延安抗大三大队	nt:1,
延安文化俱乐部	nt:1,
延安文艺座谈会	nz:2,
延安日本问题研究室	nt:1,
延安民族学院	nt:1,
延安电影制片厂	nt:1,
延安留守兵团部队艺术学校	nt:1,
延安自然科学院	nt:1,
延安自然科学院机械系	nt:2,
延安西路	ns:1,
延安路	ns:2,
延安陕北公学	nt:1,
延安鲁艺	nt:8,
延安鲁迅艺术文学院	nt:2,
延寿	ns:3,
延寿县	ns:11,
延寿桃	n:1,
延展	v:1,
延展性	n:1,
延川县	ns:1,
延川县人	n:1,
延巫	v:1,
延年益寿	i:2,
延庆	ns:3,
延庆县	ns:9,
延承	v:1,
延揽	v:1,
延时赛	n:1,
延期	v:23,vd:2,vn:6,
延水	n:1,
延河	ns:9,
延河水	n:3,
延津县	ns:1,
延炼	nz:2,
延炼实业集团公司	nt:2,
延米	q:1,
延续	v:79,vn:24,
延续性	n:2,
延绵	v:1,
延绵不断	l:1,i:1,
延缓	v:18,
延聘	v:1,
延至	v:7,
延芹	nr:1,
延解	v:2,
延误	v:35,vn:5,
延请	v:2,
延边	ns:88,
延边公路	nt:1,
延边军分区	nt:1,
延边大学	nt:2,
延边大学政治系	nt:1,
延边天池股份有限公司	nt:1,
延边敖东	nt:13,
延边敖东队	nt:37,
延边朝鲜族自治州	ns:2,
延边歌舞团	nt:2,
延边第四百货商场	ns:1,
延边队	nt:6,
延迟	v:10,vn:1,
延长	v:146,ns:4,nz:1,vn:7,
延长县	ns:3,
延长县烟草公司	nt:1,
延长油矿	nt:1,
延长线	n:1,
延陵	ns:1,nz:1,
延陵西路	ns:1,
延（安）	ns:3,
廷杖	n:1,
廷肯	nz:2,
廷肯重型轴承厂	nt:2,
建	v:1230,Ng:2,Vg:2,j:14,
建业	v:1,nz:3,
建业队	nt:3,
建予	nz:1,
建予杯	nz:2,
建于	v:4,
建井处	n:1,
建井所	j:1,
建交	v:268,vn:15,
建光	nz:1,
建光学校	nt:1,
建党	v:15,vn:13,
建军	v:23,nr:2,vn:14,
建军节	t:6,
建农	v:1,
建制	v:6,n:24,j:1,vn:1,
建制镇	n:1,
建功	v:17,vn:6,
建功立业	l:14,i:39,
建华	ns:1,nz:6,
建华艳玲	nr:1,
建华路	ns:1,
建协	j:1,
建卡	v:5,vn:1,
建厂	v:32,vn:2,
建发	j:1,
建吾	nr:1,
建园	v:2,
建国	v:280,nz:1,vn:40,
建国会	n:7,
建国宾馆	ns:1,
建国村	ns:1,
建国路	ns:1,
建国门	ns:4,
建国阵线中央委员会	nt:2,
建城	j:1,
建基	nz:1,
建堤	v:1,
建外	ns:1,j:1,
建大	j:1,
建始	ns:2,
建始一中	nt:2,
建始县	ns:4,
建始县官店镇党委	nt:1,
建委	j:31,
建委会	j:1,
建安	t:2,nz:4,
建安处	n:1,
建客	j:1,
建宪李恒	nr:1,
建寺	v:1,
建工	j:19,
建平	nr:1,nz:1,
建平中学	nt:1,
建平县	ns:1,
建平县人	n:1,
建康	ns:1,
建德县	ns:1,
建德市	ns:4,n:1,
建德门桥	nz:1,
建成	v:844,vn:37,
建房	v:55,vn:31,
建房款	n:1,
建房热	n:1,
建政	vn:1,
建教	j:1,
建教字	j:1,
建新	nz:1,
建施	j:2,
建昊	nz:1,
建昌县	ns:3,
建春	nz:1,
建材	n:91,
建材业	n:1,j:1,
建材厂	n:5,
建材城	n:2,
建材局	n:8,
