@WordPOS	Ag,Bg,Dg,FREQTWO,Mg,Ng,Rg,Tg,Vg,Yg,a,ad,an,b,c,d,e,f,h,i,j,k,l,m,n,nr,ns,nt,nx,nz,o,p,q,r,s,t,u,v,vd,vn,w,y,z,
码多分址	n:1,
码头	n:139,
码头区	n:1,
码放	v:1,vn:1,
码洋	q:1,v:2,n:5,
砂	n:19,
砂土	n:2,
砂子	n:1,
砂岩	n:3,
砂布厂	n:3,
砂枪	n:1,
砂梨	n:1,
砂洗厂	n:1,
砂浆	n:2,
砂石	n:7,
砂石土	n:1,
砂石料	n:1,
砂矿	n:1,
砂砾	n:1,
砂粒	n:1,
砂纸	n:1,
砂轮	n:3,
砂轮厂	n:1,
砂轮机	n:1,
砂金	n:1,
砌	v:25,vn:2,
砌石	v:1,
砌起	v:1,
砍	v:109,
砍价	v:1,
砍伐	v:18,vn:4,
砍伐一空	l:1,
砍刀	n:1,
砍头	n:1,
砍掉	v:1,
砍饼	n:1,
砒霜	n:9,
研	Vg:1,nr:8,v:21,Ng:1,j:1,
研习	v:7,
研习班	n:3,
研修	v:4,vn:1,
研修班	n:3,
研修生	n:6,
研农	nr:1,
研制	v:505,vn:119,
研制厂	n:1,
研制组	n:1,
研制者	n:4,
研发	v:1,j:3,
研平	nr:2,
研磨	v:2,vn:2,
研究	v:1835,vn:2815,n:6,
研究会	n:114,
研究史	n:1,
研究员	n:160,
研究员级	b:1,
研究型	b:8,n:2,
研究室	n:147,
研究性	n:1,
研究所	n:604,
研究所里	n:1,
研究法	n:1,
研究班	n:38,
研究生	n:168,
研究生会	n:2,
研究生班	n:9,
研究生部	n:1,
研究生院	n:18,
研究界	n:1,
研究科	n:1,
研究组	n:5,
研究者	n:18,
研究部	n:14,
研究院	n:155,
研究院所	j:6,
研究馆员	n:2,
研讨	v:92,vn:112,
研讨会	n:558,
研讨性	n:1,
研讨班	n:39,
研读	v:16,vn:2,
砖	n:84,
砖厂	n:24,
砖块	n:2,
砖坝	n:1,
砖坯	n:1,
砖墙	n:6,
砖壁	n:2,
砖头	n:9,
砖房	n:2,
砖木	n:5,
砖混	n:1,
砖瓦	n:15,
砖瓦厂	n:2,
砖瓦房	n:8,
砖瓦窑	n:3,
砖皮	n:1,
砖石	n:3,
砖石塔	n:1,
砖窑	n:3,
砖茶	n:2,
砖门	n:1,
砖雕	n:2,
砚	nr:3,Ng:8,
砚台	n:3,
砚山	ns:1,
砚山县	ns:1,
砚师	n:1,
砚斋	n:1,
砚方	nr:1,
砚池	n:1,
砚池河	ns:1,
砚池街人	n:1,
砚琴	nr:1,
砚田	nr:1,n:1,
砚石	n:1,
砚秋	nr:25,
砚雕	n:2,
砝码	n:12,
砥	Ng:1,
砥柱中流	i:4,
砥砺	v:5,
砧	Ng:1,
砭	Vg:1,
砭石	n:1,
砰	o:5,
砰砰	o:2,
破	a:68,ad:1,v:173,
破产	v:240,vn:132,
破产方	n:1,
破产案	n:2,
破产法	n:11,
破伤风	n:6,
破例	v:19,vn:1,vd:7,
破冰船	n:3,
破击战	n:1,
破口大骂	i:1,
破土	v:2,
破土动工	l:23,
破土而出	l:6,
破坏	v:346,vn:150,
破坏力	n:3,
破坏性	a:1,b:1,v:1,n:38,
破堰	v:1,
破壳	v:1,
破天荒	i:16,
破损	v:11,vn:3,
破旧	a:37,an:1,
破旧立新	i:1,
破格	v:7,vd:16,
破案	v:18,vn:6,
破案率	n:5,
破浪前进	l:3,
破涕为笑	i:1,
破灭	v:15,vn:1,
破烂	a:11,an:1,n:1,
破烂不堪	l:5,
破烂王	n:1,
破破烂烂	z:2,
破碎	a:6,v:11,vn:2,
破碎机	n:1,
破碗	n:1,
破空	v:1,
破絮	n:1,
破绽	n:4,
破绽百出	i:1,
破罐子破摔	i:1,l:2,
破船	n:3,
破获	v:74,vn:1,
破落	vn:1,
破袭战	n:1,
破裂	v:30,vn:2,
破解	v:7,
破译	v:1,
破财	v:1,
破败	v:4,
破费	v:3,
破路战	n:1,
破釜沉舟	i:3,
破釜沉舟式	b:1,
破铜烂铁	n:1,
破镜重圆	i:1,
破门	v:33,vn:8,
破门而入	l:1,
破门而入者	n:1,
破除	v:68,vn:1,
砷	n:2,
砸	v:97,
砸击	vn:1,
砸烂	v:5,
砸碎	v:3,
砸锅卖铁	i:4,
砸锭	vn:1,
砸门声	n:1,
砸饭碗	v:1,
砺	Vg:1,Ng:1,
砺金	nr:2,
砼	n:4,
砼薄壁	n:1,
砼面板	n:1,
砾	nr:2,
础	Ng:2,
础石	n:1,
硅	n:6,
硅二极管	n:1,
硅光板	n:1,
硅单晶	j:6,
硅微条	n:1,
硅橡胶	n:2,
硅氧烷	n:2,
硅片	n:4,
硅藻土	n:1,
硅谷	ns:3,n:14,
硅酸盐	n:1,
硅钢片	n:1,
硌	nr:3,
硒	n:1,
硕	nr:4,Ag:1,
硕丰	nz:1,
硕仁	nr:1,
硕余	nr:1,
硕儒	n:4,
硕勋	nr:1,
硕士	n:96,
硕士点	n:2,
硕士生	n:18,
硕大	a:19,z:1,
硕大无比	i:1,z:1,
硕学	a:1,
硕学耆老	i:1,
硕忠	nr:1,
硕果	n:39,
硕果累累	l:16,
硕鼠	n:4,
硝	n:3,
硝化细菌	n:2,
硝烟	n:25,
硝烟弥漫	l:6,
硝烟滚滚	l:1,
硝酸甘油	n:6,
硝酸盐	n:6,
硝酸钾	n:1,
硝酸铵	n:1,
硫	n:11,
硫化氢	n:2,
硫化物质	n:1,
硫磺	n:2,
硫磺石	n:1,
硫酸	n:1,
硫酸盐	n:2,
硫酸钾	n:1,
硫酸锌	n:1,
硬	a:190,d:45,Ng:1,an:3,
硬仗	n:31,
硬件	n:94,
硬凑	v:1,
硬功	n:6,
硬功夫	n:2,
硬化	v:11,vn:9,
硬卧	n:2,
硬壳	n:1,
硬头	n:1,
硬实	a:1,
硬币	n:25,
硬底化	vn:1,
硬度	n:5,
硬座	n:6,
硬座票	n:4,
硬性	b:16,d:16,
硬拼	v:3,
硬指标	n:9,
硬挺	v:2,
硬撑	v:1,
硬是	d:75,
硬朗	a:13,
硬木	n:3,
硬板	n:1,
硬板板的	z:1,
硬气	a:2,
硬汉	n:4,
硬汉子	n:2,
硬灌式	b:1,
硬物	n:2,
硬环境	n:13,
硬皮病	n:11,
硬盘	n:3,
硬着头皮	l:9,
硬着陆	v:1,
硬硬	d:1,
硬碰硬	v:9,
硬科学	n:1,
硬笔	n:2,
硬笔字	n:1,
硬纸壳	n:1,
硬纸板	n:1,
硬茬地	n:1,
硬账	n:1,
硬货币	n:1,
硬质	n:2,
硬质合金	l:1,
硬通货	n:1,
硬通货币	n:2,
硬邦邦	z:4,
硬邦邦的	z:1,
硬骨头	n:14,
确	nr:4,d:165,Ag:2,
确乎	d:5,
确保	d:2,v:942,vn:12,
确信	v:16,
确凿	a:11,
确切	a:35,ad:2,
确定	a:22,v:1065,vn:16,n:1,
确定性	n:1,
确定无疑	l:1,
确定者	n:2,
确实	a:51,ad:280,d:12,
确权	j:1,
确确实实	d:1,z:4,
确立	v:337,vn:31,
确认	v:162,vn:27,
确认函	n:1,
确证	v:1,vn:1,
确诊	v:15,vn:1,
确非	v:1,
硼	n:1,
硼肥	n:1,
硼镁	n:1,
硼镁石	n:1,
碉堡	n:1,
碉堡式	b:1,
碌碌	z:1,
碌碌无为	i:2,
碌翁	n:1,
碍	v:14,vn:1,
碍事	a:2,
碍于情面	l:4,
碎	a:37,v:11,
碎冰机	n:1,
碎块	n:5,
碎小	an:1,
碎岭	ns:1,
碎影	n:2,
碎步	n:1,
碎片	n:17,
碎石	n:10,
碎石机	n:2,
碎砖	n:2,
碎米	n:1,
碎语	n:1,
碎银	n:1,
碎雪	n:1,
碎骨粉身	i:1,
碑	n:115,
碑刻	n:3,
碑名	n:6,
碑基	n:1,
碑头	n:1,
碑学	n:1,
碑帖	n:3,
碑座	n:5,
碑廊	n:5,
碑文	n:16,
碑林	n:9,
碑柱	n:2,
碑版	n:2,
碑石	n:5,
碑身	n:2,
碑铭	n:1,
碑面	n:2,
碗	q:58,n:45,
碗厂乡	ns:1,
碗口	n:1,
碗柜	n:2,
碗筷	n:5,
碘	n:42,
碘化钠	n:2,
碘片	n:1,
碘盐	n:1,
碘缺乏病	n:8,
碘胺	n:1,
碘钙片	n:1,
碚	nr:3,
碟	q:7,Ng:8,
碟子	n:2,
碟片	n:10,
碟霸	nz:1,
碣	Ng:1,
碣石	ns:2,n:1,
碧	nr:5,Ag:1,Ng:8,
碧云	nr:1,
碧云天	n:1,
碧云里	ns:1,
碧兰	nr:2,
碧垣	nr:1,
碧天	n:1,
碧头村	ns:1,
碧嫩	an:1,
碧幽幽	z:1,
碧水	n:24,
碧池	n:1,
碧沙	nz:1,
碧油	n:1,
碧泉	nr:1,
碧波	n:20,
碧波万顷	l:2,
碧洲	ns:1,
碧浪	n:1,
碧海	n:6,
碧清	nr:1,
碧湛湛	z:1,
碧澄	a:1,
碧炎	nr:5,
碧玉	n:5,
碧璇	nr:2,
碧瓦	n:1,
碧眼	n:4,
碧空	n:7,
碧竹	nr:1,
碧绿	z:14,
碧绿如茵	l:1,
碧芬	nr:1,
碧英	nr:6,
碧草	n:2,
碧莲	nr:2,
碧葱	n:1,
碧蓉	nr:32,
碧蓝	z:6,
碧血	n:1,
碧青	a:1,
碧青碧青	z:1,
碧黄	a:1,
碰	v:52,
碰上	v:37,
碰到	v:46,
碰壁	v:9,
碰头	v:2,vn:1,
碰头会	n:2,
碰巧	d:6,
碰撞	v:11,vn:29,
碰撞性	n:1,
碰杯	v:2,
碰碰	v:3,
碰碰车	n:2,
碰见	v:7,
碰面	v:2,
碱	v:2,n:25,
碱业	n:2,
碱化	v:2,
碱卤	n:2,
碱厂	n:6,
碱地	n:1,
碱性	n:8,
碱水	n:1,
碱法	n:2,
碱渣	n:10,
碱渣土	n:1,
碱渣堆场	n:1,
碱滩	n:1,
碱石	n:1,
碱集料	n:5,
碳	Ng:2,n:7,
碳位	n:1,
碳化硅	n:2,
碳塑	n:3,
碳塑纤维	n:1,
碳氢	n:2,
碳氢化合物	n:2,
碳氢化物	n:1,
碳水化合物	n:1,
碳素	n:5,
碳素钢	n:1,
碳纤维	n:2,
碳酸	n:2,
碳酸丙烯	n:1,
碳酸气	n:2,
碳酸钙	n:1,
碳钢	n:1,
碳铵	n:1,
碳６０	n:1,
碾	v:3,Ng:1,
碾坊乡	ns:1,
碾子	ns:1,n:1,
碾子乡	ns:1,
碾子山区	ns:1,
碾碎	v:3,
碾米	vn:2,
碾米厂	n:1,
碾轧	vn:1,
磁	Ng:11,
磁共振	n:3,
磁力线	n:2,
磁力计	n:2,
磁化	v:1,vn:1,
磁卡	n:23,
磁卡式	n:1,
磁厂	n:1,
磁县	ns:1,
磁县都	ns:1,
磁场	n:30,
磁场环	n:1,
磁头	n:1,
磁学	n:1,
磁山	ns:2,
磁山镇	ns:1,
磁峰	ns:2,
磁峰镇	ns:3,
磁带	n:15,
磁性	n:4,
磁悬浮	n:4,
磁材	n:1,
磁条	n:2,
磁浮	b:5,
磁王	nz:1,
磁环	n:1,
磁电	n:1,
磁电式	b:1,
磁电机	n:1,
磁盘	n:1,
磁石	n:3,
磁能	n:1,
磁芯	n:1,
磁谱仪	n:28,
磁通量	n:2,
磁铁	n:24,
磁铁矿	n:4,
磁防护	vn:1,
磁鼓	n:1,
磅	q:6,
磅湛	ns:1,
磅湛省	ns:1,
磅礴	a:3,v:4,vn:2,
磅秤	n:2,
磊	nr:260,
磊磊	nr:1,
磊磊落落	z:1,
磊落	a:3,
磋商	v:113,vn:219,
磋商会	n:5,
磋商权	n:2,
磐	Ng:1,
磐安	ns:1,
磐安县	ns:2,
磐田	ns:3,nz:1,
磐田队	nt:4,
磐石	nr:1,n:2,
磕	v:4,
磕头	v:6,
磕头机	n:1,
磕打	v:1,
磕碰	v:2,vn:2,
磕磕巴巴地	z:1,
磕磕碰碰	v:1,l:2,
磕磕绊绊	z:5,
磨	v:59,n:3,
磨光	v:3,
磨光面	n:1,
磨具	n:1,
磨刀	v:1,
磨刀不误砍柴功	l:2,
磨刀霍霍	i:3,
磨叽	a:1,
磨合	v:3,vn:12,
磨合期	n:3,
磨坊	n:1,
磨山镇	nr:1,ns:1,
磨工	n:1,
磨损	v:4,vn:3,
磨擦	v:2,vn:2,
磨料	n:2,
磨杵成针	i:1,
磨歌	n:11,
磨洋工	v:1,
磨灭	v:10,
磨炼	v:27,vn:12,
磨盘	ns:1,n:3,
磨眼	n:2,
磨石	n:1,
磨砂皮	n:1,
磨破嘴	l:1,
磨砺	v:6,vn:4,n:1,
磨磨蹭蹭	v:1,
磨窝	ns:1,
磨米坊	n:1,
磨练	v:23,vn:4,
磨蹭	v:2,
磨难	n:38,
磬	Ng:3,
磴口	ns:2,
磴口县	ns:3,
磷	n:21,
磷化	vn:3,
磷协	j:1,
磷灰石	n:2,
磷矿	n:3,
磷矿石	n:2,
磷肥	n:12,
磷都	ns:1,
磷酸盐	n:2,
磷酸钙盐	n:1,
磷钾肥	n:1,
磺胺	n:3,
磺胺二甲嘧啶	n:1,
礁	n:2,
礁林	n:1,
礁石	n:6,
示	Vg:34,
示众	v:4,
示威	v:20,vn:40,
示威者	n:12,
示导性	n:1,
示弱	v:6,
示意	v:15,
示意图	n:13,
示范	v:50,vn:353,vd:1,
示范乡	n:7,
示范区	n:89,
示范县	n:15,
示范员	n:1,
示范园	n:17,
示范地	n:1,
示范场	n:5,
示范岗	n:13,
示范带	n:3,
示范带头	l:1,n:4,
示范店	n:8,
示范性	n:7,
示范户	n:26,
示范方	n:1,
示范旗	n:1,
示范村	n:10,
示范林	n:1,
示范校	n:3,
示范棚	n:4,
示范点	n:28,
示范片	n:4,
示范田	n:5,
示范街	n:19,
示范课	n:4,
示范车	n:3,
示警	v:2,
示踪物	n:2,
礻乃	nr:1,
礼	Ng:4,n:60,
礼乐	n:4,
礼京	nr:2,
礼仪	n:49,
礼仪之邦	i:6,
礼仪卡	n:1,
礼仪馆	n:1,
礼俗	n:1,
礼全	nr:6,
礼制	n:1,
礼华	nr:17,
礼厚	nr:1,
礼县	ns:1,
礼品	n:103,
礼品盒	n:4,
礼器	n:1,
礼堂	n:54,
礼士路	n:1,
礼宣	nr:2,
礼宾	n:4,
礼宾司	n:5,
礼尚往来	i:10,
礼帽	n:1,
礼康	nr:4,
礼强	nr:4,
礼忠	nr:1,
礼恒	nr:1,
礼慧	nr:1,
礼成	nr:3,
礼拜	n:6,
礼拜堂	n:1,
礼拜天	t:3,
礼教	n:5,
礼文	nr:1,
礼斌	nr:1,
礼服	n:3,
礼权	nr:1,
礼杰	nr:1,
礼杲	nr:2,
礼林镇	ns:1,
礼治	n:5,
礼泉县	ns:2,
礼波	nr:1,
礼炮	n:8,
礼炮声	n:3,
礼物	n:89,
礼章	nr:1,
礼纪镇	ns:1,
礼群	nr:1,
礼节	n:9,
礼节性	n:6,
礼花	n:19,
礼荣	nr:1,
礼袋	n:1,
礼西	nr:5,
礼让	v:5,vn:2,
礼记	n:2,
礼貌	a:16,ad:7,an:58,
礼貌性	n:1,
礼贵	nr:1,
礼赞	v:3,vn:2,n:2,
礼赞图	n:1,
礼达	nr:1,
礼遇	v:1,vn:1,n:13,
礼部	n:1,
礼部郎	n:1,
礼金	n:22,
礼钜	nr:3,
礼钟	nr:3,
礼锴	nr:3,
社	Ng:14,j:1,n:94,
社主任	n:1,
社交	n:18,
社交圈	n:1,
社交界	n:1,
社仓	n:1,
社企	j:1,
社会	nr:1,n:9289,
社会主义	n:4152,
社会主义人民党	nz:1,
社会主义化	v:1,
社会主义学	n:1,
社会主义建设者	n:2,
社会主义者	n:4,
社会主义观	n:1,
社会保险	l:62,
社会保险法	n:1,
社会保险费	n:4,
社会保险金	n:4,
社会保障部	n:38,
社会党	n:40,
社会党人	n:1,
社会关系	l:17,
社会分工	l:5,
社会制度	l:56,
社会化	v:38,vn:115,
社会发展部	n:1,
社会史	nr:1,n:9,
社会名流	l:1,n:3,
社会契约论	n:1,
社会存在	l:6,
社会存在物	n:1,
社会学	n:48,
社会学家	n:18,
社会学所	n:8,
社会学界	n:2,
社会学系	n:9,
社会工作者	n:1,
社会形态	l:3,
社会心理学	n:3,
社会心理学家	n:2,
社会性	n:17,
社会意识	l:1,
社会效益	n:151,
社会教育	l:6,
社会民主党	n:18,
社会活动	l:16,
社会活动家	n:5,
社会科学	l:77,n:26,
社会科学家	n:5,
社会科学界	n:4,
社会系	n:3,
社会观	n:1,
社会课	n:2,
社会部	n:4,
社体	j:1,
社保	vn:1,j:8,
社保局	nt:3,n:1,
社光	nr:2,
社兰村	ns:1,
社办	b:2,
社劳党	j:1,
社区	n:396,
社区型	b:1,
社区性	n:1,
社发	j:2,
社员	n:27,
社团	n:89,
社团办	j:1,
社址	j:1,
社头	n:1,
社奎	nr:2,
社庆	n:1,
社情	n:2,
社情民意	l:31,
社戏	n:1,
社教	j:3,
社文司	j:1,
社旗	ns:3,
社旗县	ns:3,
社普	nr:1,
社民	j:1,
社民党	j:55,
社琴	nr:1,
社社	n:1,
社科	j:19,n:1,
社科司	j:2,
社科界	j:1,
社科类	n:2,
社科系	n:2,
社科联	j:3,
社科院	j:56,
社稷	n:4,
社群	n:1,
社联	j:1,
社论	n:89,
社评	n:5,
社路	nr:1,
社里	n:7,
社长	n:138,
社院	j:6,
祀仁	nr:3,
祀殿	n:2,
祁	nr:26,
祁东	ns:2,
祁东县	ns:2,
祁义	ns:1,
祁县	ns:1,
祁涛	nr:3,
祁连	ns:3,
祁连县	ns:1,
祁连山	ns:13,
祁阳	ns:6,
祁阳县	ns:6,
祈	Vg:4,Ng:1,
祈年殿	nz:1,
祈愿	v:3,vn:1,
祈愿诗	n:1,
祈望	v:2,vn:2,
祈求	v:8,vn:1,
祈祝	v:1,
祈祷	v:14,vn:10,
祈福	v:3,
祈谷	n:1,
祈雨	vn:1,
祉	Ng:1,
祎	nr:1,
祖	nr:9,Ng:10,
祖上	n:3,
祖业	n:3,
祖中	nr:1,
祖丽菲娅·阿不都卡德尔	nr:1,
祖亮	nr:2,
祖传	vn:3,
祖传秘方	l:1,
祖伦	nr:3,
祖佳	nr:1,
祖儿	nr:1,
祖元	nr:1,
祖先	n:55,
祖光	nr:8,
祖全	nr:4,
祖公	n:1,
祖华	nr:3,
祖博夫	nr:1,
祖可	nr:2,
祖国	nr:1,n:1738,
祖坟	n:10,
祖坤	nr:1,
祖垲	nr:1,
祖基	nr:1,
祖孙	n:9,
祖安	nr:1,
祖宏	nr:4,
祖宗	n:18,
祖宣	nr:2,
祖宾·梅塔	nr:3,
祖寿	nr:3,
祖尧	nr:4,
祖居	n:7,
祖居地	s:1,n:1,
祖屯	nr:1,
祖岐	nr:4,
祖巴克	nr:2,
祖师	n:2,
祖庇	nr:1,
祖庙	ns:1,
祖庚	nr:4,
祖康	nr:3,
祖强	nr:9,
祖彤	nr:1,
祖彭	nr:1,
祖彼德	nr:5,
祖德	nr:24,
祖成	nr:1,
祖才	nr:1,
祖文	nr:2,
祖昌	nr:3,
祖星	nr:1,
祖杨	nr:1,
祖杭	nr:2,
祖林	nr:4,
祖树	n:1,
祖武	nr:1,
祖母	n:17,
祖母绿	n:1,
祖泽	nr:8,
祖涛	nr:1,
祖源	nr:2,
祖火	nr:1,
祖烨	nr:1,
祖煜	nr:1,
祖父	n:24,
祖父母	n:3,
祖甲	nr:22,
祖示	nr:3,
祖祖辈辈	l:30,
祖籍	n:18,
祖良	nr:1,
祖芬	nr:1,
祖英	nr:6,
祖茔	n:3,
祖荣	nr:6,
祖荫	n:1,
祖言	nr:4,
祖训	nr:1,
祖诒	nr:1,
祖诰	nr:1,
祖贝尔	nr:5,
祖贻	nr:2,
祖辈	n:16,
祖达	nr:1,
祖遂	nr:1,
祖钧	nr:1,
祖阿比	nr:1,
祖陵	n:3,
祖雄	nr:1,
祖马	nr:2,
祖鲁	nz:1,
祖鲁王国	ns:1,
祖龙	nr:2,
祚宣	nr:1,
祚庥	nr:14,
祚欢	nr:1,
祚胜	nr:1,
祛	Vg:6,
祛病	v:2,
祛病除灾	l:1,
祛痰活血	l:1,
祛除	v:2,
祛风	v:2,
祝	nr:114,v:111,Ng:1,
祝华	ns:1,
祝同	nr:1,
祝嘏	v:1,
祝基	nr:28,
祝家山村	ns:2,
祝家庄镇	ns:1,
祝寿	v:8,vn:1,
祝平	nr:6,
祝庆	nr:1,
祝愿	v:112,vn:77,
祝楼乡	ns:1,
祝珍	nr:1,
祝生	nr:1,
祝福	v:38,vn:55,
祝福声	n:4,
祝福歌	n:1,
祝福词	n:1,
祝词	n:16,
祝语	n:2,
祝贺	v:261,vn:116,
祝贺信	n:1,
祝贺团	n:3,
祝辞	v:1,n:6,
祝酒	v:3,
祝酒歌	n:2,
祝酒词	n:2,
祝酒辞	n:3,
神	a:21,Ng:1,j:4,n:123,
神不知鬼不觉	l:1,
神与物游	l:1,
神乎其神	i:1,
神人	n:3,
神仙	n:13,
神仙下凡	l:1,
神伤	v:1,
神似	a:5,v:1,
神佑	nr:1,
神侃	v:1,
神像	n:7,
神儿	n:1,
神兵天降	l:1,
神冈町	ns:1,
神农	n:1,
神农本草经	n:1,
神农架	ns:8,n:1,
神农溪	ns:1,
神农溪３号	nz:1,
神出鬼没	i:1,
神创论	n:1,
神力	n:2,
神功	n:6,
神勇	a:1,
神化	v:3,vn:1,
神医	n:4,
神华	nz:6,
神台	n:4,
神圣	a:127,ad:1,an:5,
神圣化	v:3,
神圣感	n:2,
神坛	n:3,
神堂	n:1,
神奇	a:94,an:11,
神奇莫测	l:1,
神奈川	ns:1,
神奈川叶山	ns:1,
神女	n:2,
神女峰	ns:1,
神妙	a:3,an:2,
神威	nz:2,n:3,
神学	n:6,
神学创世说	n:1,
神学化	vn:1,
神学家	n:1,
神学目的论	n:1,
神学系	n:1,
神学院	n:5,
神山	n:1,
神崎武法	nr:7,
神州	n:75,
神庙	n:15,
神府	ns:6,
神延线	nz:1,
神往	v:9,vn:2,
神志	n:3,
神态	n:27,
神态自若	i:1,l:1,
神思	n:3,
神怪	n:1,
神情	n:39,
神户	ns:9,
神户市	ns:3,
神智	n:1,
神木	ns:6,n:2,
神来之笔	i:2,
神果	nz:10,
神枪	n:1,
神枪手	n:2,
神树	n:1,
神武门	ns:4,
神殿	n:3,
神气	a:6,n:4,
神气活现	i:4,
神河	ns:1,
神清气爽	i:6,
神游	v:1,
神湖	n:1,
神灯	n:2,
神灵	n:9,
神炮手	n:1,
神父	n:1,
神理	n:1,
神甫	n:1,
神田	nr:1,ns:2,
神田区	ns:2,
神田神保町	ns:1,
神田麻希	nr:1,
神界	n:1,
神祇	n:1,
神秘	a:58,ad:1,an:7,
神秘兮兮	z:2,
神秘化	v:1,
神秘性	n:2,
神秘感	n:3,
神童	n:13,
神笔	n:4,
神算	vn:1,
神经	n:56,
神经中枢	l:3,
神经元	n:5,
神经官能症	l:1,
神经性	b:1,n:3,
神经病学	n:1,
神经痛	n:1,
神经科	n:2,
神经科学	n:8,
神经类	n:1,
神经系统	l:9,
神经细胞	l:2,
神经网	n:1,
神经肽	nz:1,
神经衰弱	l:2,
神聊	v:1,
神职	n:1,
神脑	n:1,
神色	n:12,
神茶	n:2,
神话	n:68,
神谶	nz:1,
神达	nz:1,
神通	n:6,
神通广大	i:4,
神速	a:2,ad:2,
神采	n:7,
神采奕奕	i:5,
神采飞扬	i:3,
神针	n:1,
神韵	n:30,
神风洞	ns:1,
神马	nz:1,
神魂	n:1,
神魄	n:3,
神鸟	n:2,
神鹰号	nz:1,
神鹿	n:4,
神龙	nz:13,n:4,
神龟占	nz:1,
神（木）	ns:2,
祠	Ng:3,
祠堂	n:13,
祠墓	n:5,
祠森	nr:1,
祢	nr:8,
祥	nr:10,Ag:3,Ng:1,
祥临	nr:1,
祥书	nr:1,
祥云	n:2,
祥仁	nr:2,
祥兵	nr:2,
祥利	nr:1,
祥勤	nr:1,
祥友	nr:1,
祥君	nr:2,
祥和	a:66,an:4,
祥国	nr:1,
祥妮	nr:1,
祥娟	nr:5,
祥子	nr:5,
祥富	nr:1,
祥恒威达信	nz:1,
祥文	nr:1,
祥明	nr:4,
祥春	nr:1,
祥智	nr:1,
祥有	nr:1,
祥林	nr:3,
祥林嫂	nr:2,
祥梅	nr:1,
祥梦	nz:2,
祥正	nr:1,
祥法	nr:1,
祥波	nr:2,
祥炼	nr:1,
祥熙	nr:3,
祥瑞	a:2,nr:1,
祥生	nr:1,
祥盛	nr:1,
祥福	nr:3,
祥禽瑞兽	l:1,
祥秋	nr:1,
祥符	nz:1,
祥芬	nr:1,
祥荣	nr:2,
祥荪	nr:4,
祥虎送福	l:1,
祥贺	nr:1,
祥铭	nr:1,
祥锵	nr:1,
祥雄	nr:3,
祥飞	nz:2,
祥骥	nr:1,
祥鹏	nr:1,
祥麟	nr:17,
祥龙	nz:1,
票	q:93,n:316,
票价	n:48,
票价表	n:1,
票体	n:1,
票制	n:2,
票务	n:8,
票友	n:3,
票友会	n:2,
票台	n:1,
票号	n:7,
票子	n:13,
票幅	n:2,
票房	n:46,
票房价值	n:5,
票据	n:71,
票据法	n:8,
票数	n:7,
票条	n:1,
票款	n:9,
票源	n:1,
票站	n:3,
票管员	n:1,
票箱	n:22,
票者	n:1,
票证	n:7,
票贩	n:6,
票贩子	n:16,
票钱	n:1,
票面	n:11,
票额	n:1,
祭	v:21,vn:4,
祭司	n:1,
祭坛	n:8,
祭堂	n:1,
祭天	v:7,vn:4,
祭天坛	n:2,
祭奠	v:10,vn:3,
祭扫	v:5,vn:1,
祭扫者	n:1,
祭拜	v:3,
祭日	n:1,
祭灶	v:2,
祭礼	n:1,
祭祀	v:8,vn:10,
祭祀坑	n:1,
祭祖	v:23,vn:4,
祭陵	v:1,vn:1,
祯	nr:1,
祯永	nz:1,
祷	Vg:2,
祷告	v:1,vn:3,
祷告厅	n:1,
祷告声	n:1,
祷告日	n:1,
祸	n:13,
祸不单行	i:6,
祸乱	n:1,
祸从天降	i:1,
祸及	v:5,
祸因	n:1,
祸国殃民	i:1,
祸害	v:2,n:12,
祸患	n:4,
祸根	n:6,
祸水	n:3,
祸福	n:3,
祸福相倚	l:1,
祸端	n:1,
祸起萧墙	i:1,
祸首	n:4,
祺瑞	nr:1,
禀性	n:1,
禀承	v:1,
禀赋	n:4,
禁	Vg:1,v:77,Ng:4,
禁不住	v:30,
禁书	n:1,
禁产	vn:1,
禁令	n:30,
禁区	n:80,
禁吸	v:5,
禁吸戒毒	j:5,
禁售	v:1,
禁地	n:1,
禁忌	n:10,
禁捕期	n:1,
禁放	v:8,
禁放区	n:1,
禁放者	n:1,
禁期	n:1,
禁核	j:1,
禁核试	j:4,
禁止	v:461,vn:7,
禁止性	n:3,
禁毁	vn:1,
禁毒	v:74,vn:214,
禁毒办	j:2,
禁毒委	j:3,
禁毒展	n:4,
禁毒署	n:9,
禁渔区	n:1,
禁渔期	n:2,
禁烟	vn:2,
禁烟牌	n:1,
禁猎	v:3,vn:1,
禁用	v:3,vn:1,
禁用品	n:1,
禁用语	n:1,
禁约	n:2,
禁绝	v:17,
禁而不止	l:1,
禁药	n:3,
禁行	vn:1,
禁行令	n:2,
禁行线	n:2,
禁赌	v:4,
禁赛	v:12,vn:2,
禁赛期	n:1,
禁运	v:6,vn:21,
禁酒	v:2,
禁酒令	n:2,
禁锢	v:8,vn:19,
禁闭室	n:1,
禁飞区	n:4,
禁驶区	n:1,
禄	Ng:5,
禄丰	ns:2,
禄丰县	ns:1,
禄位	n:1,
禄劝	ns:3,
禄劝县	ns:1,
禄天旭	nr:1,
禄峰	nr:1,
禄文斌	nr:1,
禄来	nz:1,
禄林	nr:1,
禄森	nr:1,
禄菊	nr:1,
